OBJECTID,Place,Contexto,Location,Longitude,Latitude,Category,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,FID_,x,y
23,la Plaza Real,· p. 88 - Carvalho piensa que ve a Yes en la dirección de las arcadas de la Plaza Real después de que ella salió del despacho,Barrio Gótico,2.17525,41.3801,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17524600026855,41.3801269528036
24,el monumento a Colón (Mirador de Colom),"· p. 88 - Carvalho anda aquí, buscando a Yes", ,2.17777,41.3758,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17776894569346,41.3757896422067
25,La Puerta de la Paz,· p. 88 - Carvalho observa el área cuando busca a Yes, ,2.17886,41.3754,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17886209478292,41.3754005430802
26,Amaya,· p. 89 - Una taberna que Carvalho visita después de buscar a Yes,Barrio Gótico,2.17626,41.378,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17625904119425,41.3780212403836
27,escuela de arte en Vallvidrera,"· p. 91 - Nisa Pascual, la última "teenager" en la vida de Stuart Pedrell, asiste a clases por las tardes. Carvalho la encuentra aquí.", ,2.12938,41.3952,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.12937998737526,41.3952140809757
28,San Cugat,"· p. 91/95 - Carvalho viene al piso de Sergio Beser con su amigo, Enric Fuster, para cenar.",San Cugat del Vallés,2.07118,41.4755,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.07117509842159,41.4754753111669
29,el Paralelo,· p. 137 - Carvalho sale el metro en el Paralelo cuando regresa de San Magín, ,2.17003,41.3748,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17002701753821,41.3748245241777
30,Vía Véneto,· p. 138 - La señora Stuart Pedrell ha invitado a Carvalho a un aperitivo aquí, ,2.13897,41.3925,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.1389739514905,41.3925361631235
31,el restaurante Río Azul,· p. 139 - Carvalho invita a Yes aquí para cenar, ,2.16008,41.3914,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.16008400942604,41.3913917540477
32,la casa de Charo,· pp. 153-157 - una casa nueva construida en el corazón del Barrio Chino, ,2.16782,41.3779,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.16781806923771,41.3778572080325
33,la Oca Gourmet,· p. 176 - Planas invita a Carvalho aquí para almorzar y hablar personalmente, ,2.18604,41.4132,criminal, , , , , , , , , , , , , , , , , , , , ,0,2.18604111702158,41.4132003783248
34,la Plaza del Arco del Teatro,· p. 215 - Carvalho la acompaña a la mujer hasta la Plaza del Arco del Teatro, ,2.17555,41.3789,investigator, , , , , , , , , , , , , , , , , , , , ,0,2.17555308306021,41.3789215087376
