Location Name,Latitude,Longitude,Page,Section,Context Esp,Context Eng,,Categoria
la facultad de Filosof¡a y Letras,41.502714,2.107197231,123,5,los anti-Bolonia todav¡a ocupan el edificio,the anti-Bolonia protesters still occupy this building,narrator,Victima
Hospital Cl¡nico de Barcelona,41.389029,2.152221,131,6,el c¢nsul de Italia y los padres de Laura van aqu¡ para ver el cad ver,the Italian consul and Laura's parents go here to see the body,las se¤oras Cremona-Hogarth,Victima
el hotel Claris,41.394099,2.165076,137,6,las madres de Laura se mudan aqu¡ despu‚s de la muerte de Laura,Laura's parents move here after Laura's death,las se¤oras Cremona-Hogarth,Victima
"la Vila Universitaria, UAB",41.49993856,2.096557441,152,6,las madres de Laura hab¡an recogido las pertenencias de Laura con la ayuda de Domenica,Laura's parents pick up her things here with Domenica's help,las se¤oras Cremona-Hogarth,Victima
Hotel Sehrs Campus,41.499745,2.095956,166,7,"Bellpuig y su amante, Monica, se reunen aqui. Un encuentro casual entre Bellpuig y Domenica en la cafeter¡a","Bellpuig and his current girlfriend/lover, Monica, meet here.  Bellpuig  runs into Domenica in the cafeteria of the hotel",Domenica y Bellpuig,Sospechoso
Madrid,40.419575,-3.702892,171,7,Bellpuig dice qu‚ est  aqu¡ despu‚s de la desaparici¢n de Laura,Bellpuig says that he was here after Laura's dissappearance,Bellpuig,Sospechoso
Hotel Sehrs Campus,41.500105,2.095596,175,7,Bellpuig toma caf‚ aqui antes de la hora de la reuni¢n con Domenica,Bellpuig has coffee here before the encounter with Domenica,Bellpuig,Sospechoso
la Universidad Aut¢noma de Barcelona,41.50202,2.103888231,197,8,"memorial para Laura y Domenica, Manuela V zquez y Rosario Hurtado asisten. Bellpuig tambi‚n est  aqu¡ pero sale","Memorial for Laura and Domenica, Manuela V and Rosario H attend. Bellpuig is also here but leaves early",Bellpuig,Sospechoso
el tanatorio de Les Corts,41.38382,2.121457,207,8,"el funeral de Bellpuig est  aqu¡, con algunos invitados destacados","Bellpuig's funeral is here, with some guests noted in novel",narrator,Victima
la facultad de Filosof¡a y Letras,41.503074,2.107197231,218,9,los okupas deciden retirarse porque los medios de comunicaci¢n solamente cubren los asesinatos,The squatters decide to leave because the media is only covering the murders,narrator,Victima
el aeropuerto del Prat,41.297101,2.083262,221,9,Las madres de Laura salen y los padres de Domenica llegan,Laura's parents leave and Domenica's parents arrive,las se¤oras Cremona-Hogarth,Victima
